"","SAMPLID","AREA","OLD_SAMP","SDATE","SPEC","SAMP_TYPE","GEAR","BD","LAT","LON","LF_SAMPLER","FISHING_VESSEL_1","FISHING_VESSEL_2","FISHING_VESSEL_3","CARRIER","FOREIGN_VESSEL","CRUISE","SETNO","COMMENTS","PLANT","AGER1","AGER2","MARKET_WEIGHT_KG","HOW_LF_OBTAINED","HOW_DETAIL_OBTAINED","DETAIL_SAMPLER","WEIR_CODE"
"38",20200117,466,NA,2020-06-15,60,4,2,0,4516.21,6457,"unknown","Lady Melissa",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 2 of 4","Cape Breeze Seafoods",NA,NA,31750,NA,NA,NA,NA
"39",20200118,466,NA,2020-06-15,60,5,2,0,4516.21,6457,"Albert Gaudet","Lady Melissa",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 3 of 4","Atlantic Catch Data",NA,NA,31750,NA,NA,NA,NA
"40",20200119,466,NA,2020-06-15,60,4,2,0,4516.42,6458.32,"Wendy Deveau","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 2","Scotia Garden Seafood Inc.",NA,NA,20500,NA,NA,NA,NA
"41",20200120,466,NA,2020-06-15,60,5,2,0,4516.42,6458.32,"Albert Gaudet","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 2 of 2","Atlantic Catch Data",NA,NA,20500,NA,NA,NA,NA
"42",20200121,466,NA,2020-06-15,60,4,2,1,4517,6451,"Wendy Deveau","Morning Star",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 2; Ager1_Reading2 is LC","Scotia Garden Seafood Inc.","DK",NA,65500,NA,NA,"Derek Knox",NA
"43",20200122,466,NA,2020-06-16,60,4,2,0,4517,6451,"Chris and Devin","Morning Star",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 3","Cape Breeze Seafoods",NA,NA,29333,NA,NA,NA,NA
"44",20200123,466,NA,2020-06-15,60,5,2,0,4517,6451,"Albert Gaudet","Morning Star",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 2 of 2","Atlantic Catch Data",NA,NA,65500,NA,NA,NA,NA
"45",20200124,466,NA,2020-06-16,60,5,2,0,4516,6456,"Albert Gaudet","Lady Janice II",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 2","Atlantic Catch Data",NA,NA,34000,NA,NA,NA,NA
"46",20200125,466,NA,2020-06-16,60,5,2,0,4516.27,6452.95,"Albert Gaudet","Lady Melissa",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR","Atlantic Catch Data",NA,NA,38000,NA,NA,NA,NA
"47",20200126,466,NA,2020-06-16,60,5,2,0,4515.99,6456.38,"Albert Gaudet","Leroy and Barry II",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 1 of 2","Atlantic Catch Data",NA,NA,36000,NA,NA,NA,NA
"48",20200127,466,NA,2020-06-16,60,5,2,0,4517,6451,"Albert Gaudet","Morning Star",NA,NA,NA,NA,NA,NA,"Scots Bay, 4XR, 2 of 3","Atlantic Catch Data",NA,NA,29333,NA,NA,NA,NA
